"id","unidade","municipio","logradouro","numero","bairro","cep"
2,"Fatec Americana - Ministro Ralph Biasi","Americana","R. Emílio de Menezes",NULL,"Gleba B - Vila Amorim","13469111"
15,"Fatec Carapicuíba","Carapicuíba","Av. Francisco Pignatari","650","Vila Gustavo Correia","06310390"
18,"Fatec Cruzeiro - Prof. Waldomiro May","Cruzeiro","Av. Rotary","383","Vila Paulista","12701170"
21,"Fatec Franca - Dr. Thomaz Novelino","Franca","R. Irênio Grecco","4580","Vila Imperador","14405191"
27,"Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende","Itapetininga","R. Dr. João Vieira de Camargo","104","Vila Barth","18205600"
29,"Fatec Itaquaquecetuba","Itaquaquecetuba","Av. Itaquaquecetuba","711","Vila Monte Belo","08577210"
32,"Fatec Jaboticabal - Nilo de Stéfani","Jaboticabal","Av. Eduardo Zambianchi","31","Vila Industrial","14883130"
40,"Fatec Mauá","Mauá","Av. Antonia Rosa Fioravante","804","Vila Fausto Morelli","09390120"
42,"Fatec Mogi das Cruzes","Mogi das Cruzes","R. Carlos Barattino","908","Vila Nova Mogilar","08773600"
44,"Fatec Osasco - Pref. Hirant Sanazar","Osasco","R. Pedro Rissato","30","Vila dos Remédios","06296220"
50,"Fatec Presidente Prudente","Presidente Prudente","R. Teresina","75","Vila Paulo Roberto","19046230"
